Sno_1,Name_1,kT,clean_name,Sno_2,name_2,norm
1,SWIFTJ0001.0-0708,-99,SWIFTJ0001.0-0708,140,SWIFTJ0001.0-0708,-99
2,SWIFTJ0001.6-7701,-99,SWIFTJ0001.6-7701,49,SWIFTJ0001.6-7701,-99
3,SWIFTJ0002.5+0323,-99,SWIFTJ0002.5+0323,97,SWIFTJ0002.5+0323,-99
4,SWIFTJ0003.3+2737,-99,SWIFTJ0003.3+2737,288,SWIFTJ0003.3+2737,-99
5,SWIFTJ0005.0+7021,-99,SWIFTJ0005.0+7021,449,SWIFTJ0005.0+7021,-99
6,SWIFTJ0009.4-0037,-99,SWIFTJ0009.4-0037,454,SWIFTJ0009.4-0037,-99
7,SWIFTJ0017.1+8134,-99,SWIFTJ0017.1+8134,254,SWIFTJ0017.1+8134,-99
8,SWIFTJ0021.2-1909,-99,SWIFTJ0021.2-1909,534,SWIFTJ0021.2-1909,-99
9,SWIFTJ0025.8+6818,-99,SWIFTJ0025.8+6818,474,SWIFTJ0025.8+6818,-99
10,SWIFTJ0026.5-5308,-99,SWIFTJ0026.5-5308,91,SWIFTJ0026.5-5308,-99
11,SWIFTJ0029.2+1319,-99,SWIFTJ0029.2+1319,669,SWIFTJ0029.2+1319,1.55E-05
12,SWIFTJ0030.0-5904,-99,SWIFTJ0030.0-5904,606,SWIFTJ0030.0-5904,-99
13,SWIFTJ0033.6+6127,-99,SWIFTJ0033.6+6127,112,SWIFTJ0033.6+6127,-99
14,SWIFTJ0034.6-0422,-99,SWIFTJ0034.6-0422,131,SWIFTJ0034.6-0422,-99
15,SWIFTJ0036.0+5951,-99,SWIFTJ0036.0+5951,161,SWIFTJ0036.0+5951,-99
16,SWIFTJ0038.4+2337,-99,SWIFTJ0038.4+2337,275,SWIFTJ0038.4+2337,-99
17,SWIFTJ0042.9+3016A,-99,SWIFTJ0042.9+3016,736,SWIFTJ0042.9+3016,4.62E-05
18,SWIFTJ0042.9-1135,-99,SWIFTJ0042.9-1135,533,SWIFTJ0042.9-1135,-99
19,SWIFTJ0051.6+2928,-99,SWIFTJ0051.6+2928,83,SWIFTJ0051.6+2928,-99
20,SWIFTJ0052.3-2730,-99,SWIFTJ0052.3-2730,327,SWIFTJ0052.3-2730,-99
21,SWIFTJ0057.0+6405,-99,SWIFTJ0057.0+6405,610,SWIFTJ0057.0+6405,-99
22,SWIFTJ0100.9-4750,-99,SWIFTJ0100.9-4750,358,SWIFTJ0100.9-4750,-99
23,SWIFTJ0101.5-0308,-99,SWIFTJ0101.5-0308,354,SWIFTJ0101.5-0308,-99
24,SWIFTJ0103.8-6437,-99,SWIFTJ0103.8-6437,198,SWIFTJ0103.8-6437,-99
25,SWIFTJ0105.6-3433,-99,SWIFTJ0105.6-3433,31,SWIFTJ0105.6-3433,-99
26,SWIFTJ0106.2-4704,-99,SWIFTJ0106.2-4704,337,SWIFTJ0106.2-4704,-99
27,SWIFTJ0106.8+0639,-99,SWIFTJ0106.8+0639,459,SWIFTJ0106.8+0639,-99
28,SWIFTJ0107.7-1137B,-99,SWIFTJ0107.7-1137,590,SWIFTJ0107.7-1137,-99
29,SWIFTJ0109.0+1320,-99,SWIFTJ0109.0+1320,440,SWIFTJ0109.0+1320,-99
30,SWIFTJ0113.8+2515,-99,SWIFTJ0113.8+2515,212,SWIFTJ0113.8+2515,-99
31,SWIFTJ0114.4-5522,-99,SWIFTJ0114.4-5522,469,SWIFTJ0114.4-5522,-99
32,SWIFTJ0114.5-3236,-99,SWIFTJ0114.5-3236,531,SWIFTJ0114.5-3236,-99
33,SWIFTJ0116.3+3104,-99,SWIFTJ0116.3+3104,295,SWIFTJ0116.3+3104,-99
34,SWIFTJ0116.5-1235,-99,SWIFTJ0116.5-1235,314,SWIFTJ0116.5-1235,-99
35,SWIFTJ0122.8+5003,-99,SWIFTJ0122.8+5003,498,SWIFTJ0122.8+5003,-99
36,SWIFTJ0122.9+3420,-99,SWIFTJ0122.9+3420,174,SWIFTJ0122.9+3420,-99
37,SWIFTJ0126.0+3511,-99,SWIFTJ0126.0+3511,237,SWIFTJ0126.0+3511,-99
38,SWIFTJ0128.4+1631,-99,SWIFTJ0128.4+1631,283,SWIFTJ0128.4+1631,-99
39,SWIFTJ0128.9-6039,-99,SWIFTJ0128.9-6039,317,SWIFTJ0128.9-6039,-99
40,SWIFTJ0130.0-4218,-99,SWIFTJ0130.0-4218,422,SWIFTJ0130.0-4218,-99
41,SWIFTJ0136.5+3906,-99,SWIFTJ0136.5+3906,166,SWIFTJ0136.5+3906,-99
42,SWIFTJ0138.6-4001,-99,SWIFTJ0138.6-4001,479,SWIFTJ0138.6-4001,-99
43,SWIFTJ0138.8+2925,-99,SWIFTJ0138.8+2925,340,SWIFTJ0138.8+2925,-99
44,SWIFTJ0140.6-5321,-99,SWIFTJ0140.6-5321,536,SWIFTJ0140.6-5321,-99
45,SWIFTJ0142.0+3922,-99,SWIFTJ0142.0+3922,30,SWIFTJ0142.0+3922,-99
46,SWIFTJ0149.2+2153A,-99,SWIFTJ0149.2+2153,320,SWIFTJ0149.2+2153,-99
47,SWIFTJ0149.2+2153B,-99,SWIFTJ0149.2+2153,328,SWIFTJ0149.2+2153,-99
48,SWIFTJ0151.3-3610,-99,SWIFTJ0151.3-3610,66,SWIFTJ0151.3-3610,-99
49,SWIFTJ0152.8-0329,-99,SWIFTJ0152.8-0329,444,SWIFTJ0152.8-0329,-99
50,SWIFTJ0154.9-2707,-99,SWIFTJ0154.9-2707,235,SWIFTJ0154.9-2707,-99
51,SWIFTJ0155.4+0228,-99,SWIFTJ0155.4+0228,37,SWIFTJ0155.4+0228,-99
52,SWIFTJ0200.3+2428,-99,SWIFTJ0200.3+2428,482,SWIFTJ0200.3+2428,-99
53,SWIFTJ0202.4+6824A,-99,SWIFTJ0202.4+6824,303,SWIFTJ0202.4+6824,-99
54,SWIFTJ0202.4+6824B,-99,SWIFTJ0202.4+6824,332,SWIFTJ0202.4+6824,-99
55,SWIFTJ0208.2+4452,-99,SWIFTJ0208.2+4452,142,SWIFTJ0208.2+4452,-99
56,SWIFTJ0208.5-1738,-99,SWIFTJ0208.5-1738,89,SWIFTJ0208.5-1738,-99
57,SWIFTJ0211.1-4944,-99,SWIFTJ0211.1-4944,445,SWIFTJ0211.1-4944,-99
58,SWIFTJ0213.7+5147,-99,SWIFTJ0213.7+5147,170,SWIFTJ0213.7+5147,-99
59,SWIFTJ0214.6-0049,-99,SWIFTJ0214.6-0049,93,SWIFTJ0214.6-0049,-99
60,SWIFTJ0216.3+5128,-99,SWIFTJ0216.3+5128,225,SWIFTJ0216.3+5128,-99
61,SWIFTJ0218.0+7348,-99,SWIFTJ0218.0+7348,165,SWIFTJ0218.0+7348,-99
62,SWIFTJ0222.3+2509,-99,SWIFTJ0222.3+2509,135,SWIFTJ0222.3+2509,-99
63,SWIFTJ0223.4+4551,-99,SWIFTJ0223.4+4551,285,SWIFTJ0223.4+4551,-99
64,SWIFTJ0225.0+1847,-99,SWIFTJ0225.0+1847,172,SWIFTJ0225.0+1847,-99
65,SWIFTJ0225.0-2312,-99,SWIFTJ0225.0-2312,247,SWIFTJ0225.0-2312,-99
