Name,T,norm,Calc_energy_flux,Sample_flux,plus_Error,minus_Error,log_energy_flux,log_sample_flux
SWIFTJ0001.0-0708,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0001.6-7701,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0002.5+0323,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0003.3+2737,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0005.0+7021,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0009.4-0037,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0017.1+8134,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0021.2-1909,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0025.8+6818,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0026.5-5308,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0029.2+1319,-99.0,1.55e-05,-99,-99,-99,-99,-99,-99
SWIFTJ0030.0-5904,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0033.6+6127,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0034.6-0422,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0036.0+5951,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0038.4+2337,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0042.9+3016A,-99.0,4.62e-05,-99,-99,-99,-99,-99,-99
SWIFTJ0042.9-1135,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0051.6+2928,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0052.3-2730,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0057.0+6405,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0100.9-4750,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0101.5-0308,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0103.8-6437,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0105.6-3433,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0106.2-4704,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0106.8+0639,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0107.7-1137B,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0109.0+1320,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0113.8+2515,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0114.4-5522,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0114.5-3236,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0116.3+3104,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0116.5-1235,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0122.8+5003,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0122.9+3420,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0126.0+3511,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0128.4+1631,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0128.9-6039,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0130.0-4218,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0136.5+3906,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0138.6-4001,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0138.8+2925,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0140.6-5321,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0142.0+3922,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0149.2+2153A,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0149.2+2153B,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0151.3-3610,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0152.8-0329,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0154.9-2707,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0155.4+0228,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0200.3+2428,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0202.4+6824A,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0202.4+6824B,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0208.2+4452,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0208.5-1738,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0211.1-4944,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0213.7+5147,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0214.6-0049,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0216.3+5128,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0218.0+7348,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0222.3+2509,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0223.4+4551,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0225.0+1847,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0225.0-2312,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0227.0+2346,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0228.1+3118,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0232.8+2020,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0234.1+3233,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0238.2-5213,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0238.5-6119,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0242.0+0516,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0242.6+0000,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0243.9+5324,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0244.7-2433,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0244.8+6227,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0245.2+1047,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0249.1+2627,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0250.4+4648,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0251.3+5441,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0252.1-6758,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0252.3+4312,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0252.7-0822,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0256.4-3212,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0311.1+3241,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0311.9+5032,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0317.2+0116,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0318.7+6828,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0324.9+4044,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0326.0-5633,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0328.4-2846,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0331.4-0510,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0333.3+3720,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0335.4+1907,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0336.6+3217,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0345.2-3935,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0349.2-1159,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0353.4-6830,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0353.7+3711,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0356.9-4041,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0357.5-6255,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0357.6+4153,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0359.0-3015A,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0359.0-3015B,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0359.7+5058,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0402.4-1807,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0404.0-3604,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0405.5-1307,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0407.4+0339,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0413.3+1659,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0413.8+1112,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0414.8-0754,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0420.0-5457,-99.0,2e-05,-99,-99,-99,-99,-99,-99
SWIFTJ0422.7-5611,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0423.5+0414,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0427.6-1201,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0428.2-6704A,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0428.2-6704B,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0433.5-5846,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0438.2-1048,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0440.2-5941,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0440.9+2741,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0443.9+2856,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0444.1+2813,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0445.0-2816,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0446.4+1828,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0449.6-5515,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0454.6-4315,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0456.3-7532,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0459.7+3502,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0459.9+2703,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0501.9-3239,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0504.6-7345,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0505.6-6735,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0507.7+6732,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0508.1+1727,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0512.1-1830,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0513.8+6627,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0515.3+1854,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0516.3+1928,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0519.5-3140,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0521.0-2522,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0524.1-1210,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0525.1-2339,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0525.3-4600,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0526.2-2118,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0530.8+1333,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0532.9+1343,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0533.9-1318,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0535.4+4013,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0539.9-2839,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0543.9-2749,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0544.4+5909,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0544.4-4328,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0547.3+5042,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0550.7-3212A,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0552.2-0727,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0554.8+4625,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0555.5+3946,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0557.9-3822,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0601.9-8636,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0606.0-2755,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0609.5-6245A,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0609.5-6245B,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0615.8+7101,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0623.3-6438,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0623.8+6445,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0623.9-6058,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0626.6+0729,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0626.6-3702,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0630.7+6342,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0635.8-7514,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0640.1-4328,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0645.9+5303,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0651.9+7426,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0659.3+2406,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0701.3-3235,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0709.0-4642,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0709.4-3559,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0710.3+5908,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0714.3+4541,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0725.7-0055,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0725.8+3000,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0727.4-2408,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0733.9+5156,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0741.4-5447,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0742.3+8024,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0743.3-2546,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0746.3+2548,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0747.6-7326,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0752.2+1937,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0753.1+4559,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0756.3-4137,-99.0,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0800.1+2638,-99.0,-99.0,-99,-99,-99,-99,-99,-99
